iter_n,timestamp,prompt_hash,model_id,judge_model,n_samples,judge_pass,judge_pass_pct,exact_match_pct,canonical_pass,canonical_total,catastrophic,hallucination_any,latency_p50_ms,cost_runner_usd,cost_judge_usd,iter_dir
1,2026-05-02T07:49:50.242109+00:00,15261ddfbe12,qwen3-32b-groq,claude-opus-4-7,60,50,83.33,73.33,7,9,5,13,1487.8,0.01741,4.097295,iterate/results/iter-001-15261ddfbe12
2,2026-05-02T08:02:46.701138+00:00,ca020ba8648d,qwen3-32b-groq,claude-sonnet-4-6,80,44,55.0,52.5,6,9,8,19,386.9,0.017794,4.30467,iterate/results/iter-002-ca020ba8648d
3,2026-05-02T08:13:49.908436+00:00,ca020ba8648d,qwen3-32b-groq,claude-haiku-4-5,80,46,57.5,52.5,6,9,8,19,406.7,0.017491,4.220565,iterate/results/iter-003-ca020ba8648d
4,2026-05-02T08:16:12.023877+00:00,ca020ba8648d,qwen3-32b-groq,claude-opus-4-7,80,56,70.0,55.0,6,9,4,13,368.5,0.017857,5.59572,iterate/results/iter-004-ca020ba8648d
5,2026-05-02T08:18:46.148047+00:00,bf8b8a662180,qwen3-32b-groq,claude-opus-4-7,80,63,78.75,60.0,7,9,4,16,434.1,0.015628,5.603535,iterate/results/iter-005-bf8b8a662180
6,2026-05-02T08:33:07.505279+00:00,69c30f7cec32,qwen3-32b-groq,claude-opus-4-7,80,63,78.75,60.0,6,9,5,14,430.0,0.024234,5.600655,iterate/results/iter-006-69c30f7cec32
7,2026-05-02T09:00:46.622558+00:00,69c30f7cec32,qwen3-32b-groq,claude-opus-4-7,80,62,77.5,58.75,6,9,6,12,371.0,0.024233,5.57919,iterate/results/iter-007-69c30f7cec32
7,2026-05-02T09:00:46.623808+00:00,69c30f7cec32,gpt-oss-120b-groq,claude-opus-4-7,80,69,86.25,70.0,6,9,5,17,976.4,0.025135,5.57919,iterate/results/iter-007-69c30f7cec32
8,2026-05-02T09:17:06.130418+00:00,3c7fcc6f74e7,qwen3-32b-groq,claude-opus-4-7,80,66,82.5,67.5,6,9,5,10,393.8,0.022402,5.571675,iterate/results/iter-008-3c7fcc6f74e7
8,2026-05-02T09:17:06.131769+00:00,3c7fcc6f74e7,gpt-oss-120b-groq,claude-opus-4-7,80,69,86.25,71.25,6,9,5,17,1006.9,0.02517,5.571675,iterate/results/iter-008-3c7fcc6f74e7
9,2026-05-02T09:19:49.842459+00:00,e774babcbb7b,qwen3-32b-groq,claude-opus-4-7,80,70,87.5,70.0,6,9,5,14,407.3,0.025842,5.568623,iterate/results/iter-009-e774babcbb7b
