cell_id,timestamp,prompt_label,prompt_hash,model_id,judge_model,n_samples,judge_pass,judge_pass_pct,exact_match_pct,canonical_pass,canonical_total,catastrophic,hallucination_any,latency_total_p50_ms,latency_total_p95_ms,latency_ttft_p50_ms,tokens_in_mean,tokens_out_mean,wall_seconds,cost_runner_usd,cost_judge_usd,cell_dir
seed/qwen3-32b-groq,2026-05-03T06:08:22.685723+00:00,seed,15261ddfbe12,qwen3-32b-groq,claude-opus-4-7,80,63,78.75,52.5,7,9,7,17,1640.2,3671.0,1428.1,221.3,396.0,171.4,0.023826,5.622625,iterate/results/matrix/seed/qwen3-32b-groq
seed/gpt-oss-120b-groq,2026-05-03T06:08:16.052985+00:00,seed,15261ddfbe12,gpt-oss-120b-groq,claude-opus-4-7,80,56,70.0,50.0,5,9,9,16,983.1,2582.8,923.0,282.7,250.0,164.8,0.015393,5.622625,iterate/results/matrix/seed/gpt-oss-120b-groq
seed/gpt-oss-20b,2026-05-03T06:08:45.108193+00:00,seed,15261ddfbe12,gpt-oss-20b,claude-opus-4-7,80,50,62.5,36.25,4,9,14,24,2053.1,13765.5,1755.7,277.2,347.5,193.8,0.006791,5.622625,iterate/results/matrix/seed/gpt-oss-20b
seed/qwen3-30b,2026-05-03T06:08:44.086366+00:00,seed,15261ddfbe12,qwen3-30b,claude-opus-4-7,80,44,55.0,35.0,2,9,9,18,1080.2,6043.0,629.3,221.3,21.4,192.8,0.002373,5.622625,iterate/results/matrix/seed/qwen3-30b
seed/qwen3-next-80b,2026-05-03T06:07:52.968219+00:00,seed,15261ddfbe12,qwen3-next-80b,claude-opus-4-7,80,52,65.0,38.75,6,9,9,21,626.7,1197.4,485.0,221.3,21.8,141.7,0.003905,5.622625,iterate/results/matrix/seed/qwen3-next-80b
seed/nemotron-3-super-120b,2026-05-03T06:09:12.872732+00:00,seed,15261ddfbe12,nemotron-3-super-120b,claude-opus-4-7,80,59,73.75,51.25,7,9,8,17,10606.3,32428.8,9334.5,223.4,189.1,221.6,0.009822,5.622625,iterate/results/matrix/seed/nemotron-3-super-120b
seed/llama-3-3-70b,2026-05-03T06:08:29.233477+00:00,seed,15261ddfbe12,llama-3-3-70b,claude-opus-4-7,80,54,67.5,35.0,5,9,17,27,791.7,6852.1,527.0,229.9,18.0,177.9,0.003539,5.622625,iterate/results/matrix/seed/llama-3-3-70b
seed/mistral-small-3-2-24b,2026-05-03T06:07:26.588968+00:00,seed,15261ddfbe12,mistral-small-3-2-24b,claude-opus-4-7,80,57,71.25,45.0,4,9,11,24,565.6,1583.4,319.0,215.9,22.4,115.3,0.001941,5.622625,iterate/results/matrix/seed/mistral-small-3-2-24b
seed/kimi-k2-6,2026-05-03T06:11:48.185294+00:00,seed,15261ddfbe12,kimi-k2-6,claude-opus-4-7,80,46,57.5,48.75,5,9,32,40,18819.9,65465.9,15784.7,221.1,805.7,376.9,0.269699,5.622625,iterate/results/matrix/seed/kimi-k2-6
iter9/qwen3-32b-groq,2026-05-03T06:13:49.650431+00:00,iter9,e774babcbb7b,qwen3-32b-groq,claude-opus-4-7,80,69,86.25,71.25,6,9,4,12,512.0,1171.3,458.0,1742.6,26.0,121.5,0.027697,5.615977,iterate/results/matrix/iter9/qwen3-32b-groq
iter9/gpt-oss-120b-groq,2026-05-03T06:14:31.896775+00:00,iter9,e774babcbb7b,gpt-oss-120b-groq,claude-opus-4-7,80,71,88.75,73.75,6,9,4,14,1036.7,2906.6,982.8,1722.0,288.9,163.7,0.028197,5.615977,iterate/results/matrix/iter9/gpt-oss-120b-groq
iter9/gpt-oss-20b,2026-05-03T06:14:57.285266+00:00,iter9,e774babcbb7b,gpt-oss-20b,claude-opus-4-7,80,67,83.75,68.75,5,9,9,19,3223.0,21439.2,2807.7,1718.4,352.8,189.1,0.011634,5.615977,iterate/results/matrix/iter9/gpt-oss-20b
iter9/qwen3-30b,2026-05-03T06:14:25.023870+00:00,iter9,e774babcbb7b,qwen3-30b,claude-opus-4-7,80,63,78.75,61.25,7,9,7,21,869.2,2788.2,649.5,1742.6,21.7,156.8,0.014776,5.615977,iterate/results/matrix/iter9/qwen3-30b
iter9/qwen3-next-80b,2026-05-03T06:14:09.001507+00:00,iter9,e774babcbb7b,qwen3-next-80b,claude-opus-4-7,80,61,76.25,60.0,6,9,7,22,587.1,1729.2,491.8,1742.6,21.0,140.8,0.017009,5.615977,iterate/results/matrix/iter9/qwen3-next-80b
iter9/nemotron-3-super-120b,2026-05-03T06:16:16.235803+00:00,iter9,e774babcbb7b,nemotron-3-super-120b,claude-opus-4-7,80,64,80.0,63.75,5,9,13,22,12234.4,46722.8,11134.2,1712.8,271.2,268.0,0.02876,5.615977,iterate/results/matrix/iter9/nemotron-3-super-120b
iter9/llama-3-3-70b,2026-05-03T06:14:38.769281+00:00,iter9,e774babcbb7b,llama-3-3-70b,claude-opus-4-7,80,62,77.5,63.75,6,9,10,21,935.8,3968.1,527.9,1668.3,18.5,170.6,0.021869,5.615977,iterate/results/matrix/iter9/llama-3-3-70b
iter9/mistral-small-3-2-24b,2026-05-03T06:13:59.614087+00:00,iter9,e774babcbb7b,mistral-small-3-2-24b,claude-opus-4-7,80,66,82.5,68.75,4,9,6,18,542.0,1257.7,369.3,1765.2,22.6,131.4,0.011467,5.615977,iterate/results/matrix/iter9/mistral-small-3-2-24b
iter9/kimi-k2-6,2026-05-03T06:17:43.651161+00:00,iter9,e774babcbb7b,kimi-k2-6,claude-opus-4-7,80,51,63.75,58.75,4,9,26,37,16340.5,64630.4,11291.9,1659.5,728.8,355.4,0.303286,5.615977,iterate/results/matrix/iter9/kimi-k2-6
iter25/qwen3-32b-groq,2026-05-03T06:19:44.262747+00:00,iter25,7cccb33806f9,qwen3-32b-groq,claude-opus-4-7,80,71,88.75,71.25,8,9,5,18,533.9,1094.1,478.9,2232.6,25.8,120.6,0.032377,5.598848,iterate/results/matrix/iter25/qwen3-32b-groq
iter25/gpt-oss-120b-groq,2026-05-03T06:20:34.175261+00:00,iter25,7cccb33806f9,gpt-oss-120b-groq,claude-opus-4-7,80,70,87.5,68.75,7,9,7,13,1004.0,3787.4,957.9,2192.0,305.7,170.5,0.031722,5.598848,iterate/results/matrix/iter25/gpt-oss-120b-groq
iter25/gpt-oss-20b,2026-05-03T06:20:49.519880+00:00,iter25,7cccb33806f9,gpt-oss-20b,claude-opus-4-7,80,67,83.75,68.75,6,9,9,22,2738.0,13615.4,2178.6,2187.3,425.5,185.9,0.014642,5.598848,iterate/results/matrix/iter25/gpt-oss-20b
iter25/qwen3-30b,2026-05-03T06:20:30.998358+00:00,iter25,7cccb33806f9,qwen3-30b,claude-opus-4-7,80,66,82.5,65.0,5,9,7,17,827.6,2776.0,497.5,2232.6,21.7,167.3,0.018421,5.598848,iterate/results/matrix/iter25/qwen3-30b
iter25/qwen3-next-80b,2026-05-03T06:20:11.974042+00:00,iter25,7cccb33806f9,qwen3-next-80b,claude-opus-4-7,80,59,73.75,58.75,7,9,8,27,641.3,1464.2,552.2,2232.6,20.7,148.3,0.020944,5.598848,iterate/results/matrix/iter25/qwen3-next-80b
iter25/nemotron-3-super-120b,2026-05-03T06:21:28.762901+00:00,iter25,7cccb33806f9,nemotron-3-super-120b,claude-opus-4-7,80,64,80.0,63.75,8,9,12,26,10831.7,32100.5,10043.5,2212.7,299.1,225.1,0.033672,5.598848,iterate/results/matrix/iter25/nemotron-3-super-120b
iter25/llama-3-3-70b,2026-05-03T06:20:22.443093+00:00,iter25,7cccb33806f9,llama-3-3-70b,claude-opus-4-7,80,60,75.0,63.75,6,9,10,26,885.9,2194.8,549.9,2143.7,18.1,158.8,0.030611,5.598848,iterate/results/matrix/iter25/llama-3-3-70b
iter25/mistral-small-3-2-24b,2026-05-03T06:20:16.521622+00:00,iter25,7cccb33806f9,mistral-small-3-2-24b,claude-opus-4-7,80,63,78.75,62.5,5,9,6,26,676.2,1766.6,385.8,2263.2,22.2,152.8,0.01405,5.598848,iterate/results/matrix/iter25/mistral-small-3-2-24b
iter25/kimi-k2-6,2026-05-03T06:23:41.285290+00:00,iter25,7cccb33806f9,kimi-k2-6,claude-opus-4-7,80,50,62.5,58.75,5,9,25,34,16402.0,66705.2,12991.2,2138.4,707.5,357.6,0.303558,5.598848,iterate/results/matrix/iter25/kimi-k2-6
iter28/qwen3-32b-groq,2026-05-03T06:26:25.857032+00:00,iter28,9890460e0f5c,qwen3-32b-groq,claude-opus-4-7,80,65,81.25,66.25,6,9,6,15,583.2,1344.2,518.7,2901.6,25.8,164.6,0.04619,5.597275,iterate/results/matrix/iter28/qwen3-32b-groq
iter28/gpt-oss-120b-groq,2026-05-03T06:26:26.970751+00:00,iter28,9890460e0f5c,gpt-oss-120b-groq,claude-opus-4-7,80,72,90.0,76.25,7,9,6,17,1147.3,2733.2,1051.5,2822.0,306.8,165.7,0.037645,5.597275,iterate/results/matrix/iter28/gpt-oss-120b-groq
iter28/gpt-oss-20b,2026-05-03T06:26:52.892302+00:00,iter28,9890460e0f5c,gpt-oss-20b,claude-opus-4-7,80,62,77.5,66.25,6,9,12,24,4280.0,17393.2,3692.3,2817.3,406.2,191.6,0.014788,5.597275,iterate/results/matrix/iter28/gpt-oss-20b
iter28/qwen3-30b,2026-05-03T06:26:33.518694+00:00,iter28,9890460e0f5c,qwen3-30b,claude-opus-4-7,80,64,80.0,62.5,5,9,5,18,1248.5,3363.5,913.7,2901.6,21.7,172.2,0.024479,5.597275,iterate/results/matrix/iter28/qwen3-30b
iter28/qwen3-next-80b,2026-05-03T06:26:11.536639+00:00,iter28,9890460e0f5c,qwen3-next-80b,claude-opus-4-7,80,60,75.0,58.75,6,9,8,20,695.7,1614.7,548.4,2901.6,20.7,150.2,0.027557,5.597275,iterate/results/matrix/iter28/qwen3-next-80b
iter28/nemotron-3-super-120b,2026-05-03T06:27:50.007360+00:00,iter28,9890460e0f5c,nemotron-3-super-120b,claude-opus-4-7,80,61,76.25,66.25,9,9,17,27,9490.6,43755.5,7605.2,2876.4,350.0,248.7,0.038406,5.597275,iterate/results/matrix/iter28/nemotron-3-super-120b
iter28/llama-3-3-70b,2026-05-03T06:26:38.163977+00:00,iter28,9890460e0f5c,llama-3-3-70b,claude-opus-4-7,80,61,76.25,60.0,6,9,8,25,808.5,3118.7,502.3,2771.6,17.9,176.9,0.03389,5.597275,iterate/results/matrix/iter28/llama-3-3-70b
iter28/mistral-small-3-2-24b,2026-05-03T06:25:49.722126+00:00,iter28,9890460e0f5c,mistral-small-3-2-24b,claude-opus-4-7,80,65,81.25,63.75,4,9,5,18,759.2,1341.0,499.3,2942.2,22.5,128.4,0.01816,5.597275,iterate/results/matrix/iter28/mistral-small-3-2-24b
iter28/kimi-k2-6,2026-05-03T06:29:53.919428+00:00,iter28,9890460e0f5c,kimi-k2-6,claude-opus-4-7,80,58,72.5,66.25,7,9,18,26,12523.5,72828.4,10478.0,2771.4,712.7,372.6,0.325472,5.597275,iterate/results/matrix/iter28/kimi-k2-6
baseline_iter009/qwen3-32b-groq,2026-05-04T20:46:13.729300+00:00,baseline_iter009,e774babcbb7b,qwen3-32b-groq,claude-opus-4-7,80,69,86.25,68.75,6,9,4,13,498.0,1122.6,432.4,1742.6,26.0,91.6,0.026808,4.468545,iterate/results/matrix/baseline_iter009/qwen3-32b-groq
baseline_iter009/qwen3-5-27b,2026-05-04T20:46:40.132309+00:00,baseline_iter009,e774babcbb7b,qwen3-5-27b,claude-opus-4-7,80,73,91.25,76.25,5,9,5,13,2074.0,5694.5,1529.7,1777.9,21.0,118.0,0.036784,4.468545,iterate/results/matrix/baseline_iter009/qwen3-5-27b
baseline_iter009/gpt-oss-120b-groq,2026-05-04T20:44:43.889874+00:00,baseline_iter009,e774babcbb7b,gpt-oss-120b-groq,claude-opus-4-7,80,0,0.0,0.0,0,9,0,0,0.0,0.0,0.0,0.0,0.0,1.7,0,4.468545,iterate/results/matrix/baseline_iter009/gpt-oss-120b-groq
baseline_iter009/qwen3-5-122b,2026-05-04T20:46:28.180845+00:00,baseline_iter009,e774babcbb7b,qwen3-5-122b,claude-opus-4-7,80,71,88.75,68.75,5,9,5,16,1204.4,2525.6,856.0,1777.9,21.0,106.0,0.048353,4.468545,iterate/results/matrix/baseline_iter009/qwen3-5-122b
baseline_iter009/qwen3-next-80b,2026-05-04T20:46:21.939980+00:00,baseline_iter009,e774babcbb7b,qwen3-next-80b,claude-opus-4-7,80,60,75.0,61.25,6,9,6,23,707.5,1394.4,564.4,1742.6,21.1,99.8,0.016446,4.468545,iterate/results/matrix/baseline_iter009/qwen3-next-80b
A_minimal/qwen3-32b-groq,2026-05-04T20:48:08.446306+00:00,A_minimal,07e0b7e4c00d,qwen3-32b-groq,claude-opus-4-7,80,62,77.5,57.5,5,9,6,13,517.8,834.2,455.7,556.6,25.8,88.3,0.008565,4.481811,iterate/results/matrix/A_minimal/qwen3-32b-groq
A_minimal/qwen3-5-27b,2026-05-04T20:48:35.875655+00:00,A_minimal,07e0b7e4c00d,qwen3-5-27b,claude-opus-4-7,80,73,91.25,66.25,5,9,5,14,1483.6,4802.2,983.2,575.9,21.3,115.7,0.015364,4.481811,iterate/results/matrix/A_minimal/qwen3-5-27b
A_minimal/gpt-oss-120b-groq,2026-05-04T20:46:44.496465+00:00,A_minimal,07e0b7e4c00d,gpt-oss-120b-groq,claude-opus-4-7,80,0,0.0,0.0,0,9,0,0,0.0,0.0,0.0,0.0,0.0,4.4,0,4.481811,iterate/results/matrix/A_minimal/gpt-oss-120b-groq
A_minimal/qwen3-5-122b,2026-05-04T20:48:31.587101+00:00,A_minimal,07e0b7e4c00d,qwen3-5-122b,claude-opus-4-7,80,69,86.25,63.75,6,9,5,14,1129.8,2278.8,788.4,575.9,21.3,111.4,0.018348,4.481811,iterate/results/matrix/A_minimal/qwen3-5-122b
A_minimal/qwen3-next-80b,2026-05-04T20:48:23.441704+00:00,A_minimal,07e0b7e4c00d,qwen3-next-80b,claude-opus-4-7,80,62,77.5,50.0,5,9,8,21,735.0,1623.7,568.5,556.6,21.2,103.3,0.00663,4.481811,iterate/results/matrix/A_minimal/qwen3-next-80b
B_id_focus/qwen3-32b-groq,2026-05-04T20:49:59.894171+00:00,B_id_focus,2437fe406f2c,qwen3-32b-groq,claude-opus-4-7,80,62,77.5,65.0,6,9,7,13,542.2,1189.5,484.3,1409.6,26.3,83.9,0.023847,4.487001,iterate/results/matrix/B_id_focus/qwen3-32b-groq
B_id_focus/qwen3-5-27b,2026-05-04T20:50:32.206884+00:00,B_id_focus,2437fe406f2c,qwen3-5-27b,claude-opus-4-7,80,71,88.75,71.25,7,9,3,13,3229.3,5633.4,2145.9,1458.9,21.1,116.2,0.031797,4.487001,iterate/results/matrix/B_id_focus/qwen3-5-27b
B_id_focus/gpt-oss-120b-groq,2026-05-04T20:48:38.111314+00:00,B_id_focus,2437fe406f2c,gpt-oss-120b-groq,claude-opus-4-7,80,0,0.0,0.0,0,9,0,0,0.0,0.0,0.0,0.0,0.0,2.1,0,4.487001,iterate/results/matrix/B_id_focus/gpt-oss-120b-groq
B_id_focus/qwen3-5-122b,2026-05-04T20:50:20.658570+00:00,B_id_focus,2437fe406f2c,qwen3-5-122b,claude-opus-4-7,80,70,87.5,67.5,6,9,5,17,1265.6,2793.2,953.8,1458.9,21.1,104.6,0.042767,4.487001,iterate/results/matrix/B_id_focus/qwen3-5-122b
B_id_focus/qwen3-next-80b,2026-05-04T20:50:10.202657+00:00,B_id_focus,2437fe406f2c,qwen3-next-80b,claude-opus-4-7,80,55,68.75,51.25,3,9,5,28,781.1,1284.6,588.1,1409.6,21.2,94.2,0.014028,4.487001,iterate/results/matrix/B_id_focus/qwen3-next-80b
C_more_shots/qwen3-32b-groq,2026-05-04T20:52:05.054332+00:00,C_more_shots,055cce198344,qwen3-32b-groq,claude-opus-4-7,80,63,78.75,66.25,6,9,3,14,606.8,1211.1,568.5,1583.6,26.3,92.8,0.024396,4.473873,iterate/results/matrix/C_more_shots/qwen3-32b-groq
C_more_shots/qwen3-5-27b,2026-05-04T20:52:27.288260+00:00,C_more_shots,055cce198344,qwen3-5-27b,claude-opus-4-7,80,71,88.75,76.25,5,9,5,17,3754.3,5295.3,2384.2,1636.9,21.1,115.1,0.033851,4.473873,iterate/results/matrix/C_more_shots/qwen3-5-27b
C_more_shots/gpt-oss-120b-groq,2026-05-04T20:50:33.655711+00:00,C_more_shots,055cce198344,gpt-oss-120b-groq,claude-opus-4-7,80,0,0.0,0.0,0,9,0,0,0.0,0.0,0.0,0.0,0.0,1.4,0,4.473873,iterate/results/matrix/C_more_shots/gpt-oss-120b-groq
C_more_shots/qwen3-5-122b,2026-05-04T20:52:15.509803+00:00,C_more_shots,055cce198344,qwen3-5-122b,claude-opus-4-7,80,71,88.75,71.25,6,9,4,18,1233.2,2803.3,920.1,1636.9,21.1,103.3,0.047651,4.473873,iterate/results/matrix/C_more_shots/qwen3-5-122b
C_more_shots/qwen3-next-80b,2026-05-04T20:52:01.993583+00:00,C_more_shots,055cce198344,qwen3-next-80b,claude-opus-4-7,80,61,76.25,61.25,6,9,6,22,719.9,1391.6,587.7,1583.6,21.1,89.8,0.015358,4.473873,iterate/results/matrix/C_more_shots/qwen3-next-80b
D_step_process/qwen3-32b-groq,2026-05-04T20:53:56.605435+00:00,D_step_process,a6d593df79eb,qwen3-32b-groq,claude-opus-4-7,80,55,68.75,55.0,5,9,5,13,522.0,1064.5,447.4,1208.6,25.9,89.3,0.018797,4.486809,iterate/results/matrix/D_step_process/qwen3-32b-groq
D_step_process/qwen3-5-27b,2026-05-04T20:54:27.906843+00:00,D_step_process,a6d593df79eb,qwen3-5-27b,claude-opus-4-7,80,71,88.75,71.25,7,9,3,16,3180.4,5624.9,2013.0,1250.9,21.1,120.6,0.027367,4.486809,iterate/results/matrix/D_step_process/qwen3-5-27b
D_step_process/gpt-oss-120b-groq,2026-05-04T20:52:29.823012+00:00,D_step_process,a6d593df79eb,gpt-oss-120b-groq,claude-opus-4-7,80,0,0.0,0.0,0,9,0,0,0.0,0.0,0.0,0.0,0.0,2.5,0,4.486809,iterate/results/matrix/D_step_process/gpt-oss-120b-groq
D_step_process/qwen3-5-122b,2026-05-04T20:54:15.855925+00:00,D_step_process,a6d593df79eb,qwen3-5-122b,claude-opus-4-7,80,66,82.5,60.0,6,9,5,17,1202.1,2014.2,836.3,1250.9,21.2,108.6,0.03675,4.486809,iterate/results/matrix/D_step_process/qwen3-5-122b
D_step_process/qwen3-next-80b,2026-05-04T20:54:09.246540+00:00,D_step_process,a6d593df79eb,qwen3-next-80b,claude-opus-4-7,80,54,67.5,53.75,6,9,5,24,710.6,1585.6,596.0,1208.6,21.3,101.9,0.012448,4.486809,iterate/results/matrix/D_step_process/qwen3-next-80b
baseline_iter009/gpt-oss-120b-groq,2026-05-04T22:44:32.633824+00:00,baseline_iter009,e774babcbb7b,gpt-oss-120b-groq,claude-opus-4-7,80,69,86.25,72.5,6,9,6,15,1149.4,3081.1,1038.4,1722.0,297.8,39.6,0.028795,5.563245,iterate/results/matrix/baseline_iter009/gpt-oss-120b-groq
A_minimal/gpt-oss-120b-groq,2026-05-04T22:45:15.019797+00:00,A_minimal,07e0b7e4c00d,gpt-oss-120b-groq,claude-opus-4-7,80,65,81.25,61.25,5,9,7,17,1124.6,2441.1,1053.3,605.0,289.3,42.4,0.019034,5.5689,iterate/results/matrix/A_minimal/gpt-oss-120b-groq
B_id_focus/gpt-oss-120b-groq,2026-05-04T22:45:56.692996+00:00,B_id_focus,2437fe406f2c,gpt-oss-120b-groq,claude-opus-4-7,80,67,83.75,70.0,5,9,8,16,1170.3,2936.8,1025.1,1417.0,306.2,41.7,0.026597,5.552295,iterate/results/matrix/B_id_focus/gpt-oss-120b-groq
C_more_shots/gpt-oss-120b-groq,2026-05-04T22:46:36.352986+00:00,C_more_shots,055cce198344,gpt-oss-120b-groq,claude-opus-4-7,80,72,90.0,77.5,7,9,6,17,1217.9,2426.6,1143.6,1675.4,304.1,39.7,0.027618,5.56755,iterate/results/matrix/C_more_shots/gpt-oss-120b-groq
D_step_process/gpt-oss-120b-groq,2026-05-04T22:47:15.135607+00:00,D_step_process,a6d593df79eb,gpt-oss-120b-groq,claude-opus-4-7,80,68,85.0,73.75,7,9,7,16,1235.3,2683.9,1078.9,1240.0,308.6,38.8,0.025395,5.537625,iterate/results/matrix/D_step_process/gpt-oss-120b-groq
iter009/llama-3-2-1b,2026-05-05T23:47:48.804664+00:00,iter009,e774babcbb7b,llama-3-2-1b,claude-opus-4-7,80,4,5.0,2.5,0,9,44,54,4938.7,35947.4,3519.3,1665.0,141.6,355.1,0.00513,5.072922,iterate/results/matrix/iter009/llama-3-2-1b
