model_id,n_samples,n_samples_all_identical,pct_samples_all_identical,edit_distance_p50,edit_distance_p95,edit_distance_p99,edit_distance_max,edit_distance_mean,total_pair_count
granite-4-0-h-micro,50,49,98.0,0,12,12,12,2.4,45
gemini-3-1-pro-preview,50,48,96.0,0,2,2,2,0.75,9900
qwen3-14b,50,48,96.0,0,7,7,7,1.48,90
claude-sonnet-4-6,50,47,94.0,0,314,423,657,66.73,14850
nemotron-nano-9b,50,47,94.0,0,14,14,14,4.67,135
claude-haiku-4-5,50,46,92.0,0,3,3,3,0.5,19800
llama-3-2-3b,50,45,90.0,0,6,70,70,4.04,225
qwen3-5-9b,50,44,88.0,0,18,18,18,2.97,270
gemini-3-flash-preview,50,43,86.0,0,17,30,36,2.09,34650
claude-opus-4-7,50,43,86.0,0,164,399,3128,32.34,34650
qwen3-5-35b,50,42,84.0,0,12,46,46,3.62,360
llama-3-3-70b-groq,50,42,84.0,0,21,21,21,2.43,360
qwen3-8b,50,42,84.0,0,15,999,999,26.27,360
gemma-3-12b-it,50,42,84.0,0,8,8,8,1.93,360
gpt-5-4-mini,50,42,84.0,0,2,9,46,0.62,39600
qwen3-30b,50,41,82.0,0,4,5,5,0.82,405
llama-3-1-70b,50,41,82.0,0,21,21,25,1.92,405
mistral-small-2603,50,40,80.0,1,21,21,21,3.55,450
deepseek-v4-flash,50,38,76.0,0,11,242,393,11.15,59400
gemma-3-27b-it,50,38,76.0,0,27,53,53,3.9,540
gpt-5-5,50,38,76.0,0,2,8,8,0.31,59400
llama-4-maverick,50,37,74.0,0,14,22,22,3.02,585
ministral-14b,50,36,72.0,0,15,27,27,2.6,630
deepseek-v3-1-terminus,50,36,72.0,0,5,8,46,1.16,69300
llama-3-3-70b,50,34,68.0,0,18,21,21,2.0,720
gemma-3-4b-it,50,34,68.0,0,265,265,265,32.22,720
qwen3-235b,50,33,66.0,0,6,12,31,1.3,84150
mistral-small-3-2-24b,50,33,66.0,0,16,22,24,2.87,765
ministral-8b,50,33,66.0,0,19,21,21,2.85,765
nemotron-super-49b,50,31,62.0,0,518,961,1422,89.13,94050
kimi-k2-6,50,31,62.0,0,14,18,4125,9.35,94050
nemotron-3-super-120b,50,30,60.0,0,11,422,2767,11.88,99000
llama-4-scout-groq,50,29,58.0,0,43,207,234,10.2,945
llama-4-scout,50,24,48.0,1,42,82,133,7.49,1170
gpt-oss-20b,50,23,46.0,0,25,45,72,3.12,133650
nemotron-3-nano-30b,50,21,42.0,0,20,21,23,4.84,1305
gpt-oss-120b-nitro,50,18,36.0,0,2,8,50,0.45,158400
ministral-3b,50,18,36.0,1,20,30,33,4.39,1440
gpt-oss-120b,50,17,34.0,0,8,49,69,1.76,163350
llama-3-1-8b,50,9,18.0,5,70,834,3101,35.61,1845
gpt-oss-20b-groq,50,9,18.0,0,30,46,61,3.37,202950
mistral-nemo,50,3,6.0,84,337,492,592,107.97,2115
phi-4,50,3,6.0,1,304,463,714,39.79,2115
gpt-oss-120b-cerebras,50,1,2.0,0,1,26,69,0.74,242550
nemotron-llama-3-1-70b,50,0,0.0,0,0,0,0,0.0,247500
olmo-3-1-32b,50,0,0.0,0,0,0,0,0.0,2250
grok-4,50,0,0.0,0,0,0,0,0.0,247500
granite-4-1-8b,50,0,0.0,0,0,0,0,0.0,2250
qwen3-235b-cerebras,50,0,0.0,0,37,60,61,9.43,247500
