model_id,n_samples,n_samples_all_identical,pct_samples_all_identical,edit_distance_p50,edit_distance_p95,edit_distance_p99,edit_distance_max,edit_distance_mean,total_pair_count
claude-sonnet-4-6,50,48,96.0,1,379,766,3379,133.93,9900
granite-4-1-8b,50,48,96.0,0,2,10,14,0.86,9900
gemini-3-1-pro-preview,50,48,96.0,1,2,2,2,0.75,9900
granite-4-0-h-micro,50,47,94.0,0,12,12,28,1.18,14850
claude-haiku-4-5,50,46,92.0,0,439,439,448,56.68,19800
nemotron-nano-9b,50,46,92.0,0,14,14,14,3.16,19800
gemini-3-flash-preview,50,45,90.0,0,8,27,27,1.24,24750
qwen3-14b,50,44,88.0,0,7,7,7,0.69,29700
claude-opus-4-7,50,43,86.0,0,173,440,612,25.99,34650
llama-3-2-3b,50,43,86.0,0,5,70,70,3.37,34650
gpt-5-4-mini,50,40,80.0,0,7,18,46,1.13,49500
nemotron-llama-3-1-70b,50,40,80.0,1,523,807,1275,77.32,49500
qwen3-5-35b,50,39,78.0,0,8,39,46,1.89,54450
gemma-3-12b-it,50,38,76.0,0,8,8,8,0.88,59400
gpt-5-5,50,37,74.0,0,2,3,10,0.32,64350
deepseek-v4-flash,50,37,74.0,0,53,246,377,11.61,64350
llama-3-3-70b-groq,50,37,74.0,0,6,21,21,1.52,64350
mistral-small-3-2-24b,50,36,72.0,0,16,22,24,2.76,69300
gemma-3-27b-it,50,35,70.0,0,8,312,1009,8.05,74250
llama-3-1-70b,50,35,70.0,0,4,21,25,1.19,74250
deepseek-v3-1-terminus,50,34,68.0,0,5,8,46,0.9,79200
gemma-3-4b-it,50,33,66.0,0,141,151,254,14.47,84150
kimi-k2-6,50,33,66.0,0,10,39,308,2.29,84150
qwen3-30b,50,32,64.0,0,26,31,46,3.58,89100
llama-3-3-70b,50,32,64.0,0,6,18,25,1.24,89100
mistral-small-2603,50,30,60.0,0,21,40,40,3.21,99000
qwen3-235b,50,30,60.0,0,8,12,18,1.14,99000
llama-4-maverick,50,30,60.0,0,28,545,3959,23.76,99000
ministral-14b,50,29,58.0,0,8,20,22,1.26,103950
nemotron-3-super-120b,50,26,52.0,0,11,1006,4258,23.93,118800
gpt-oss-20b,50,25,50.0,0,21,57,64,3.24,123750
nemotron-super-49b,50,22,44.0,2,790,1528,2697,142.34,138600
ministral-8b,50,21,42.0,0,16,28,40,2.02,143550
llama-4-scout,50,17,34.0,0,34,54,254,5.33,163350
gpt-oss-120b-nitro,50,16,32.0,0,3,16,69,0.87,168300
gpt-oss-120b,50,16,32.0,0,8,49,69,1.42,168300
ministral-3b,50,15,30.0,0,20,28,76,3.84,173250
nemotron-3-nano-30b,50,13,26.0,0,20,21,35,3.53,183150
gpt-oss-20b-groq,50,11,22.0,0,31,52,68,3.69,193050
qwen3-235b-cerebras,50,10,20.0,0,23,30,61,2.28,198000
llama-3-1-8b,50,10,20.0,0,30,91,4092,8.12,198000
qwen3-8b,50,10,20.0,0,24,33,1032,2.49,198000
phi-4,50,3,6.0,1,296,714,714,39.68,232650
llama-4-scout-groq,50,3,6.0,0,30,60,464,4.74,232650
gpt-oss-120b-cerebras,50,2,4.0,0,1,20,46,0.5,237600
olmo-3-1-32b,50,0,0.0,0,0,0,0,0.0,247500
grok-4,50,0,0.0,0,0,0,0,0.0,247500
mistral-nemo,50,0,0.0,71,334,673,940,94.28,247500
qwen3-5-9b,50,0,0.0,0,0,40,60,1.2,247500
